Keyword,Gap Score,Staleness (yrs),Top Video Views (K),Top Video Title,Found At
Music for studying,70,6.4,58461.6,"Ambient Study Music To Concentrate - 4 Hours of Music for Studying, Concentration and Memory",2026-05-04 15:18
Music for relaxing,70,9.8,512296.8,"Flying: Relaxing Sleep Music for Meditation, Stress Relief & Relaxation by Peder B. Helland",2026-05-04 15:18
Music for yoga,70,9.3,24619.6,"Yoga Music, Relaxing Music, Calming Music, Stress Relief Music, Peaceful Music, Relax, ✿2658C",2026-05-04 15:18
Music for meditation,70,9.8,512296.8,"Flying: Relaxing Sleep Music for Meditation, Stress Relief & Relaxation by Peder B. Helland",2026-05-04 15:18
Music for deep focus,70,6.3,30302.7,"Deep Focus - Music For Studying, Concentration and Work",2026-05-04 15:18
Music for anxiety relief,70,6.9,23200.7,"Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58",2026-05-04 15:18
Songs for studying,70,6.4,58461.6,"Ambient Study Music To Concentrate - 4 Hours of Music for Studying, Concentration and Memory",2026-05-04 15:18
Songs for yoga,70,9.3,24619.6,"Yoga Music, Relaxing Music, Calming Music, Stress Relief Music, Peaceful Music, Relax, ✿2658C",2026-05-04 15:18
Songs for meditation,70,9.8,512296.8,"Flying: Relaxing Sleep Music for Meditation, Stress Relief & Relaxation by Peder B. Helland",2026-05-04 15:18
Songs for deep focus,70,6.3,30302.7,"Deep Focus - Music For Studying, Concentration and Work",2026-05-04 15:18
Songs for anxiety relief,70,6.9,23200.7,"Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58",2026-05-04 15:18
Background music for yoga,70,9.7,13190.8,"Relaxing yoga music: Instrumental music, stress relief music, relax music, meditation music 30408Y",2026-05-04 15:18
Background music for meditation,70,9.8,512296.8,"Flying: Relaxing Sleep Music for Meditation, Stress Relief & Relaxation by Peder B. Helland",2026-05-04 15:18
Background music for deep focus,70,6.3,30302.7,"Deep Focus - Music For Studying, Concentration and Work",2026-05-04 15:18
Background music for anxiety relief,70,6.9,23200.7,"Instant Relief from Stress and Anxiety | Detox Negative Emotions, Calm Nature Healing Sleep Music★58",2026-05-04 15:18
Music for working from home,68.88,5.9,78770.1,"Focus Music for Work and Studying, Background Music for Concentration, Study Music",2026-05-04 15:18
Songs for working from home,68.88,5.9,78770.1,"Focus Music for Work and Studying, Background Music for Concentration, Study Music",2026-05-04 15:18
Background music for studying,68.88,5.9,78770.1,"Focus Music for Work and Studying, Background Music for Concentration, Study Music",2026-05-04 15:18
Background music for relaxing,68.88,5.9,78770.1,"Focus Music for Work and Studying, Background Music for Concentration, Study Music",2026-05-04 15:18
Background music for working from home,68.88,5.9,78770.1,"Focus Music for Work and Studying, Background Music for Concentration, Study Music",2026-05-04 15:18
Music for sleeping,43.6,3.7,68483.3,Deep Sleep Music ★︎ FALL ASLEEP IMMEDIATELY ★︎ Melatonin Release,2026-05-04 15:18
Music for reading,33.43,2.9,5076.1,Cozy Reading Nook: Relaxing Ambient Music to Read & Study,2026-05-04 15:18
Songs for reading,33.43,2.9,5076.1,Cozy Reading Nook: Relaxing Ambient Music to Read & Study,2026-05-04 15:18
Background music for reading,33.43,2.9,5076.1,Cozy Reading Nook: Relaxing Ambient Music to Read & Study,2026-05-04 15:18
Background music for sleeping,14.51,1.2,35205.2,"(No Ads) Relaxing Music For Deep Sleep • Anxiety Relief, Melatonin Release • Stop Overthinking",2026-05-04 15:18
